"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"784",10453,"20.0812454045448,-155.666730865229","20.0810047190729,-155.619115020546","20.035664613694,-155.619372160466","20.035905231277,-155.666979138746","20.058456,-155.643049"
"785",10465,"19.7617963363905,-155.288038903494","19.7614886976497,-155.240485909908","19.7161788620241,-155.24081312531","19.7164864155544,-155.28835727604","19.738988,-155.264424"
"786",10473,"19.3560651076189,-155.62321779946","19.3558170779451,-155.575743517052","19.3105425636685,-155.576007945159","19.3107905262292,-155.623473413817","19.333304,-155.599611"
"787",10501,"19.3535301776223,-155.1959530688","19.3532064828624,-155.148479788249","19.3079326749105,-155.148823537429","19.3082562820974,-155.196288004788","19.330732,-155.172386"
"788",10509,"19.5829680329195,-155.716975385338","19.5827365025994,-155.66945679789","19.5374422389398,-155.669704057333","19.5376737057842,-155.71721381454","19.560206,-155.693338"
"789",10513,"19.6292980269472,-155.954375237123","19.6291085397524,-155.906847405509","19.5838099640951,-155.907050588786","19.5839993992018,-155.954569586647","19.606555,-155.930711"
"790",10542,"20.9012652522597,-156.665558657115","20.9012015822681,-156.617781389159","20.8557770879169,-156.617852804216","20.8558407391077,-156.665621145322","20.878522,-156.641703"
"791",10553,"20.1719388708622,-155.666234040651","20.1716980490315,-155.61860045325","20.1263491869484,-155.618857784825","20.1265899405028,-155.666482499215","20.149145,-155.642544"
"792",10555,"22.0280872357305,-159.400010694541","22.0285106446447,-159.352013216599","21.9829558091306,-159.351571720115","21.9825325331118,-159.399560189497","22.005522,-159.375789"
"793",10593,"20.0365764295945,-155.809800615059","20.0363611392632,-155.762193369344","19.9910251687515,-155.762423824058","19.9912403985101,-155.810022206522","20.013801,-155.78611"
"794",10624,"21.5358881726972,-158.053853207354","21.5360714617309,-158.005951295027","21.4905752681755,-158.005762848299","21.4903920351717,-158.05365578727","21.513232,-158.029806"
"795",10649,"19.9436683886621,-155.38194137679","19.9433772812779,-155.334352744718","19.8980505270127,-155.334662735399","19.8983415529245,-155.382242511314","19.92086,-155.3583"
"796",10651,"22.0662680008143,-160.120536508064","22.0668198611905,-160.072532912739","22.0212615414741,-160.07195608218","22.0207098546586,-160.119950667193","22.043765,-160.096244"
"797",10689,"20.8546738047897,-156.140171410959","20.8545167997564,-156.092403546787","20.8090975873671,-156.092573092421","20.8092545461586,-156.140332033346","20.831886,-156.11637"
"798",10692,"19.1302003977136,-155.719355696316","19.1299694939643,-155.671925263852","19.0847136910626,-155.672171606793","19.0849445331495,-155.719593241745","19.107458,-155.695761"
"799",10698,"20.900518192687,-156.283341447855","20.9003866087067,-156.235564486911","20.8549623549982,-156.235707316068","20.8550939001256,-156.283475350335","20.877741,-156.259522"
"800",10700,"21.4447095703666,-158.101342336205","21.4449012671211,-158.053458441139","21.3994158353314,-158.053261168918","21.3992241968886,-158.10113609739","21.422063,-158.0773"
"801",10725,"19.8530189522349,-155.382543533774","19.8527280075628,-155.33497261072","19.8074096914468,-155.335282370744","19.8077005551113,-155.38284444423","19.830215,-155.358911"
"802",10734,"21.0832213007447,-157","21.0832170510232,-156.952186897608","21.0377725078893,-156.95219583787","21.0377767563433,-157","21.060497,-156.976096"
"803",10736,"21.6272549623239,-157.958408460573","21.6274213036665,-157.910488453391","21.5819141661714,-157.910317825649","21.5817478759296,-157.958228852669","21.604585,-157.934361"
"804",10749,"20.7644975035244,-156.379243533653","20.7643829991753,-156.331493246125","20.7189733037658,-156.331618081899","20.719087774558,-156.379359452695","20.741736,-156.355429"
"805",10782,"21.0374326319544,-156.569762941954","21.0373519115312,-156.521958930246","20.9919125349659,-156.522048299125","20.9919932313745,-156.569843373998","21.014673,-156.545903"
"806",10800,"20.9014562623927,-157.095554719453","20.90146899641,-157.047777361395","20.8560444230951,-157.047768434493","20.8560316928379,-157.095536865651","20.878751,-157.071659"
"807",10801,"19.6705572433128,-155.193605029482","19.670232928404,-155.146069964829","19.6249314552277,-155.146414609298","19.6252556807758,-155.193940837807","19.647745,-155.170008"
"808",10809,"19.355295796441,-155.480795250178","19.3550225446893,-155.43332127226","19.3097482453944,-155.433612141283","19.3100214232119,-155.48107730562","19.332523,-155.457201"
"809",10811,"22.2085826267051,-159.593946862069","22.2090408233437,-159.545914014655","22.1634632766106,-159.545435766565","22.1630052251728,-159.593459592271","22.186023,-159.569689"
"810",10829,"20.3088918894042,-155.856129908715","20.308684688873,-155.808469331281","20.2633221924886,-155.808691418689","20.2635293338208,-155.856343112989","20.286108,-155.832408"
"811",10848,"21.3088183569028,-157.957152617324","21.3089843434912,-157.909295400672","21.2635145636732,-157.909125219755","21.2633486272044,-157.956973479761","21.286167,-157.933137"
"812",10860,"19.221160132223,-155.813776677007","19.2209459060509,-155.766328466482","19.1756825365864,-155.766557384178","19.175896705245,-155.813996790563","19.198422,-155.790165"
"813",10873,"19.809268698596,-155.668219120672","19.8090284175668,-155.620656424925","19.7637138237929,-155.620912991162","19.763954038087,-155.668466840287","19.786492,-155.644564"
"814",10877,"19.4024578886653,-155.860378946838","19.4022518406159,-155.81289540515","19.3569731515998,-155.81311584585","19.3571791437452,-155.860590570268","19.379716,-155.836745"
"815",10881,"19.9887083018849,-155.334042638612","19.9884086730806,-155.286445262575","19.9430777365455,-155.286764228071","19.9433772812779,-155.334352744718","19.965894,-155.310401"
"816",10893,"20.0810047190729,-155.619115020546","20.0807555888767,-155.571499271663","20.0354155537677,-155.571765277932","20.035664613694,-155.619372160466","20.058211,-155.595438"
"817",10937,"19.3994302694869,-155.290582572602","19.3991233056133,-155.243100229899","19.3538454653287,-155.243426473763","19.3541523459344,-155.290899999864","19.376638,-155.267002"
"818",10945,"19.6280347831026,-155.669209446514","19.6277947678684,-155.621682117525","19.5824965533378,-155.621938302373","19.5827365025994,-155.66945679789","19.605266,-155.645572"
"819",10956,"19.2629862148249,-155.196622816434","19.2626626949572,-155.149167158996","19.2173965120847,-155.14951065302","19.2177199448863,-155.196957503807","19.240192,-155.173065"
"820",10965,"20.6284861085839,-156.47503838197","20.6283886532256,-156.427314751505","20.5829932357583,-156.427421633992","20.5830906627708,-156.475136357662","20.60574,-156.451228"
"821",10978,"20.9921843546175,-156.71322876566","20.9921291412117,-156.665433610606","20.9466947087653,-156.665496145547","20.9467499057856,-156.713282367062","20.96944,-156.68936"
"822",10989,"20.1263491869484,-155.618857784825","20.1260999862821,-155.57123316629","20.0807555888767,-155.571499271663","20.0810047190729,-155.619115020546","20.103553,-155.595176"
"823",10991,"21.9374067050293,-159.351130389343","21.9378213013562,-159.303150759523","21.8922777653547,-159.302718596262","21.8918632985289,-159.350689224187","21.914843,-159.326922"
"824",11011,"22.1187817360188,-159.448927548121","22.1192139696448,-159.400912212285","22.073647703266,-159.400461368772","22.0732156059621,-159.448467689375","22.096215,-159.424692"
"825",11017,"19.3532064828624,-155.148479788249","19.3528743810981,-155.101006635382","19.3076006629917,-155.101359197683","19.3079326749105,-155.148823537429","19.330404,-155.124917"
"826",11025,"19.5369540553848,-155.574684821842","19.5366973387486,-155.527175350119","19.491407264438,-155.527448998249","19.4916639108801,-155.574949643171","19.514181,-155.551065"
"827",11029,"19.8552579786596,-155.810686486121","19.8550429295848,-155.763114673621","19.8097239688863,-155.763344785441","19.8099389580767,-155.810907747877","19.832491,-155.787013"
"828",11052,"21.1741213926236,-157.047830992951","21.1741256448907,-157","21.1286709193294,-157","21.1286666683369,-157.047822045998","21.151397,-157.023913"
