"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"248","2124","18.3574465551649,-65.2698107627653","18.3571411606284,-65.2224972613625","18.3119747645851,-65.2228231257521","18.3122800812777,-65.2701245591858","18.338688,-66.334416"
"249","2125","18.2252635468199,-66.972793719042","18.2253729465659,-66.9255145223156","18.1802054566264,-66.9254060623555","18.1800960845507,-66.9726732081241","18.248353,-66.665499"
"250","2127","18.3159669658436,-66.2161786508225","18.3158920752384,-66.1688751859926","18.270724660687,-66.1689596299999","18.2707995322488,-66.2162510314614","18.155174,-65.43663"
"251","2133","17.9995341972444,-66.0750272251385","17.9994249350435,-66.0278082218312","17.9542566851264,-66.0279284261253","17.9543659200597,-66.0751354091365","18.428192,-67.09167"
"252","2141","18.2706382704625,-66.8783317284025","18.270724660687,-66.8310403700001","18.2255571989215,-66.8309559690519","18.2254708306061,-66.87823527027","18.382714,-65.813838"
"253","2143","18.0449611059611,-66.2166123816023","18.0448863287868,-66.1693812048084","17.9997182179427,-66.1694653909544","17.9997929764049,-66.2166845412169","18.203243,-66.57091"
"254","2146","18.496013976106,-67.0682211489794","18.4961466102287,-67.0208696469379","18.4509792151563,-67.0207366786606","18.450846615118,-67.0680760928944","18.382161,-65.671876"
"255","215","17.9533598113223,-67.2553119729347","17.9535380358915,-67.2081054488019","17.90836972492,-67.2079252355966","17.9081915447066,-67.2551197459018","18.383682,-66.807591"
"256","2155","18.450702484755,-65.8845845669127","18.4505468240955,-65.8372453069307","18.4053796027993,-65.8374144520756","18.4055352235631,-65.8847416305379","18.383751,-66.239731"
"257","2157","18.1806487020394,-66.5945348381659","18.1806659713635,-66.5472674221539","18.135498262801,-66.5472553771265","18.1354809978333,-66.5945107481158","17.977299,-66.71246"
"258","2171","18.1332020366988,-65.5549006198697","18.1329660853069,-65.5076465315281","18.0877988841254,-65.5078993409998","18.0880347761638,-65.5551413914359","18.065565,-65.57888"
"259","2175","18.1802054566264,-66.0745939376445","18.1800960845507,-66.0273267918759","18.1349285197465,-66.0274472413752","18.1350378642327,-66.0747023423276","18.202621,-66.00363"
"260","2178","18.4053796027993,-67.1625855479244","18.4055352235631,-67.1152583694621","18.360367997467,-67.1151013859864","18.3602124164833,-67.1624164890939","18.47419,-66.33429"
"261","2180","18.0902843962778,-66.3582700098211","18.0902441215014,-66.31102670838","18.0450761478283,-66.3110748393635","18.0451164124992,-66.3583061080751","18.383924,-66.523661"
"262","2189","18.4515845644262,-66.6893592241518","18.4516249211184,-66.6420194397096","18.4064574234988,-66.6419831938798","18.4064170771507,-66.6893108964008","18.065093,-65.484408"
"263","2192","18.1770739878687,-65.3183304147885","18.1767804154842,-65.2710649886785","18.131613686978,-65.2713781456606","18.1319071853232,-65.3186315282688","17.976655,-65.957049"
"264","2203","18.0440407736667,-65.8387645114543","18.0438739639414,-65.7915338493925","17.9987061064212,-65.7917142462179","17.9988728744068,-65.8389328821413","18.111871,-65.862136"
"265","2205","18.4058118830377,-67.0206037782545","18.4059329216942,-66.9732763778393","18.3607655939359,-66.9731556207769","18.3606445862203,-67.0204709456675","18.428573,-66.94967"
"266","2207","18.3155982739386,-66.0269650746787","18.3154772970742,-65.9796618191522","18.2703099879921,-65.9797945162565","18.2704309340949,-66.0270857085746","18.293071,-66.050674"
"267","221","18.1351356988295,-66.8780425014854","18.1352220235181,-66.8307872962009","18.0900542548199,-66.8307030242325","18.0899679518492,-66.8779461907581","18.337996,-67.044059"
"268","2212","18.2710011096873,-66.4527084693608","18.2709838316122,-66.405416944873","18.2258163041186,-66.4054410595002","18.2258335778118,-66.4527205266768","18.158052,-66.381847"
"269","2221","18.3612496256259,-66.6892625933116","18.3612899616598,-66.6419469665464","18.3161225079709,-66.6419107576952","18.3160821822211,-66.6892143148655","18.337858,-65.908632"
"270","2237","18.4061404167272,-66.8786213982124","18.4062268730629,-66.8312938313312","18.3610594701611,-66.8312093011068","18.3609730359265,-66.878524792336","18.022514,-66.665288"
"271","2239","18.3611977650243,-66.2634218045661","18.3611343798653,-66.2161062332474","18.3159669658436,-66.2161786508225","18.316030334842,-66.2634821525884","17.976782,-66.995738"
"272","2244","18.4516710430634,-66.4526601785366","18.4516537473326,-66.4053203632433","18.4064862423244,-66.4053445271377","18.4065035336221,-66.4526722604861","18.112021,-65.909385"
"273","2253","18.3612899616598,-66.6419469665464","18.3613187731183,-66.5946313212988","18.3161513120835,-66.5946071820569","18.3161225079709,-66.6419107576952","18.293174,-66.902029"
"274","2258","18.2248662535698,-67.1146309158427","18.2250102002973,-67.0673519219519","18.1798428021058,-67.067207309264","18.1796988917856,-67.114474252352","18.473625,-66.00287"
"275","2269","18.1803033159088,-66.8781388613102","18.1803896623789,-66.8308716111298","18.1352220235181,-66.8307872962009","18.1351356988295,-66.8780425014854","18.247212,-67.185637"
"276","2276","18.4065092973883,-66.5","18.4065035336221,-66.4526722604861","18.3613360599956,-66.4526843362702","18.3613418222884,-66.5","18.112919,-66.476375"
"277","2290","18.0438739639414,-67.2084661506075","18.0440407736667,-67.1612354885457","17.9988728744068,-67.1610671178587","17.9987061064212,-67.2082857537821","18.337547,-65.814014"
"278","2299","18.314307858306,-65.648541271215","18.3140947101986,-65.6012387297686","18.268927752659,-65.6014679302794","18.2691408465724,-65.6487584090636","18.067716,-66.618093"
"279","2301","18.0445929724794,-66.972312043694","18.0447022620283,-66.9250810139675","17.9995341972444,-66.9249727748615","17.9994249350435,-66.9721917781688","17.977242,-66.759673"
"280","2308","18.4064170771507,-66.3106891035992","18.4063652032882,-66.26336142574","18.3611977650243,-66.2634218045661","18.3612496256259,-66.3107374066883","17.976782,-66.004262"
"281","2317","18.4064170771507,-66.6893108964008","18.4064574234988,-66.6419831938798","18.3612899616598,-66.6419469665464","18.3612496256259,-66.6892625933116","18.156521,-65.720191"
"282","2331","18.1343760433623,-65.838427512651","18.1342091497894,-65.7911727799257","18.0890416359058,-65.7913533606519","18.0892084874934,-65.8385960549794","18.293267,-66.854731"
"283","2333","18.496267711037,-66.9735180769732","18.496377278507,-66.92616644526","18.4512098241564,-66.9260576527495","18.4511002848437,-66.9733971965557","18.02241,-66.240261"
"284","2335","18.2704309340949,-66.0270857085746","18.2703099879921,-65.9797945162565","18.2251426313892,-65.9799271456971","18.2252635468199,-66.027206280958","18.248306,-66.287215"
